PARAMETERS,NETPROFITAMOUNT,NETPROFITPERCENT,MAXDRAWDOWNAMOUNT,MAXDRAWDOWNPERCENT,CLOSEDTRADES,PERCENTPROFITABLE,PROFITFACTOR,AVERAGETRADEAMOUNT,AVERAGETRADEPERCENT,AVGERAGEBARSINTRADES
"45, 12.5, 85","−1,147.00 USD",−0.11%,"3,075.00 USD",0.31%,10,30.00%,0.126,0,,0
"45, 12.5, 95",−905.00 USD,−0.09%,988.00 USD,0.10%,12,16.67%,0.082,0,,0
"45, 13, 105","+1,199.50 USD",+0.12%,"1,395.00 USD",0.14%,15,26.67%,2.067,0,,0
"45, 13, 115",+258.50 USD,+0.03%,"1,464.50 USD",0.15%,16,25.00%,1.209,0,,0
"45, 13, 125",+478.00 USD,+0.05%,"1,164.00 USD",0.12%,13,23.08%,1.506,0,,0
"45, 13, 135",+231.50 USD,+0.02%,"1,210.00 USD",0.12%,14,21.43%,1.194,0,,0
"45, 13, 145",+231.50 USD,+0.02%,"1,210.00 USD",0.12%,14,21.43%,1.194,0,,0
"45, 13, 25","−2,729.00 USD",−0.27%,"9,972.00 USD",1.00%,8,62.50%,0.635,0,,0
"45, 13, 35","−3,824.00 USD",−0.38%,"9,972.00 USD",1.00%,9,44.44%,0.506,0,,0
"45, 13, 45","−3,968.50 USD",−0.40%,"9,972.00 USD",1.00%,12,41.67%,0.497,0,,0
"45, 13, 55","−4,185.00 USD",−0.42%,"10,171.50 USD",1.02%,13,38.46%,0.483,0,,0
"45, 13, 65","−4,215.50 USD",−0.42%,"10,171.50 USD",1.02%,13,38.46%,0.481,0,,0
"45, 13, 75","−5,921.50 USD",−0.59%,"10,191.50 USD",1.02%,14,28.57%,0.285,0,,0
"45, 13, 85","−6,039.00 USD",−0.60%,"10,191.50 USD",1.02%,14,28.57%,0.278,0,,0
"45, 13, 95","+1,302.50 USD",+0.13%,"1,395.00 USD",0.14%,14,28.57%,2.275,0,,0
"45, 13.5, 105","+3,778.50 USD",+0.38%,899.00 USD,0.09%,14,21.43%,4.652,0,,0
"45, 13.5, 115","+3,526.50 USD",+0.35%,"1,151.00 USD",0.12%,15,20.00%,3.741,0,,0
"45, 13.5, 125","+3,421.00 USD",+0.34%,799.50 USD,0.08%,12,25.00%,4.351,0,,0
"45, 13.5, 135","+3,421.00 USD",+0.34%,799.50 USD,0.08%,12,25.00%,4.351,0,,0
"45, 13.5, 145","+3,438.50 USD",+0.34%,782.00 USD,0.08%,12,25.00%,4.427,0,,0
"45, 13.5, 25","+4,102.50 USD",+0.41%,160.00 USD,0.02%,3,0.00%,0,0,,0
"45, 13.5, 35","+4,647.00 USD",+0.46%,193.50 USD,0.02%,5,20.00%,3.067,0,,0
"45, 13.5, 45","+5,605.00 USD",+0.56%,254.50 USD,0.03%,5,20.00%,2.176,0,,0
"45, 13.5, 55","+5,633.50 USD",+0.56%,345.50 USD,0.03%,6,16.67%,1.493,0,,0
"45, 13.5, 65","+5,621.00 USD",+0.56%,379.00 USD,0.04%,7,14.29%,1.346,0,,0
"45, 13.5, 75","+4,234.50 USD",+0.42%,610.50 USD,0.06%,9,22.22%,8.763,0,,0
"45, 13.5, 85","+4,078.50 USD",+0.41%,610.50 USD,0.06%,12,25.00%,6.478,0,,0
"45, 13.5, 95","+3,823.00 USD",+0.38%,854.50 USD,0.09%,14,21.43%,4.862,0,,0
"45, 14, 105","+1,349.00 USD",+0.13%,"1,232.50 USD",0.12%,12,16.67%,2.135,0,,0
"45, 14, 115","+2,690.00 USD",+0.27%,"1,062.00 USD",0.11%,13,23.08%,3.197,0,,0
"45, 14, 125","+1,539.50 USD",+0.15%,"1,087.50 USD",0.11%,14,28.57%,2.232,0,,0
"45, 14, 135","+1,431.50 USD",+0.14%,"1,195.50 USD",0.12%,14,28.57%,2.054,0,,0
"45, 14, 145","+1,276.50 USD",+0.13%,"1,326.50 USD",0.13%,14,21.43%,1.856,0,,0
"45, 14, 25",−161.50 USD,−0.02%,161.50 USD,0.02%,3,0.00%,0,0,,0
"45, 14, 35","+1,963.50 USD",+0.20%,"2,553.00 USD",0.26%,4,0.00%,0,0,,0
"45, 14, 45",−570.50 USD,−0.06%,614.50 USD,0.06%,7,0.00%,0,0,,0
"45, 14, 55",−775.00 USD,−0.08%,819.00 USD,0.08%,8,0.00%,0,0,,0
"45, 14, 65",−821.00 USD,−0.08%,886.50 USD,0.09%,10,10.00%,0.026,0,,0
"45, 14, 75","+1,476.50 USD",+0.15%,"1,105.00 USD",0.11%,12,16.67%,2.391,0,,0
"45, 14, 85","+1,443.00 USD",+0.14%,"1,138.50 USD",0.11%,12,16.67%,2.318,0,,0
"45, 14, 95","+1,402.00 USD",+0.14%,"1,179.50 USD",0.12%,12,16.67%,2.234,0,,0
"45, 14.5, 105","−8,065.00 USD",−0.81%,"9,919.50 USD",0.99%,11,18.18%,0.039,0,,0
"45, 14.5, 115","−8,250.50 USD",−0.83%,"10,105.00 USD",1.01%,12,16.67%,0.038,0,,0
"45, 14.5, 125",−930.50 USD,−0.09%,"1,167.50 USD",0.12%,11,27.27%,0.293,0,,0
"45, 14.5, 135","−1,048.00 USD",−0.10%,"1,285.00 USD",0.13%,11,27.27%,0.269,0,,0
"45, 14.5, 145","−1,058.00 USD",−0.11%,"1,295.00 USD",0.13%,11,27.27%,0.267,0,,0
"45, 14.5, 25","−10,840.00 USD",−1.08%,"13,016.50 USD",1.30%,3,33.33%,0.023,0,,0
"45, 14.5, 35","−10,840.00 USD",−1.08%,"13,016.50 USD",1.30%,3,33.33%,0.023,0,,0
"45, 14.5, 45","−9,859.00 USD",−0.99%,"10,927.50 USD",1.09%,6,33.33%,0.035,0,,0
"45, 14.5, 65","−7,310.50 USD",−0.73%,"9,900.50 USD",0.99%,8,25.00%,0.047,0,,0
"45, 14.5, 75","−7,331.50 USD",−0.73%,"9,900.50 USD",0.99%,8,25.00%,0.047,0,,0
"45, 14.5, 85","−7,760.00 USD",−0.78%,"9,919.50 USD",0.99%,10,20.00%,0.04,0,,0
"45, 14.5, 95","−8,041.50 USD",−0.80%,"9,919.50 USD",0.99%,11,18.18%,0.039,0,,0
"45, 15, 105",−476.00 USD,−0.05%,688.50 USD,0.07%,12,33.33%,0.493,0,,0
"45, 15, 115",−619.50 USD,−0.06%,832.00 USD,0.08%,12,25.00%,0.411,0,,0
"45, 15, 125",+62.50 USD,+0.01%,471.00 USD,0.05%,12,33.33%,1.091,0,,0
"45, 15, 135",−587.50 USD,−0.06%,849.00 USD,0.08%,15,26.67%,0.549,0,,0
"45, 15, 145",−837.50 USD,−0.08%,987.00 USD,0.10%,15,26.67%,0.46,0,,0
"45, 15, 25","−1,078.00 USD",−0.11%,"3,959.50 USD",0.40%,3,0.00%,0,0,,0
"45, 15, 35","−1,038.50 USD",−0.10%,"1,889.00 USD",0.19%,5,20.00%,0.053,0,,0
"45, 15, 45","−1,018.00 USD",−0.10%,"1,899.00 USD",0.19%,6,33.33%,0.08,0,,0
"45, 15, 55",−246.50 USD,−0.02%,596.00 USD,0.06%,10,40.00%,0.59,0,,0
"45, 15, 65",−246.50 USD,−0.02%,596.00 USD,0.06%,10,40.00%,0.59,0,,0
"45, 15, 75",−352.50 USD,−0.04%,698.50 USD,0.07%,11,36.36%,0.501,0,,0
"45, 15, 85",−559.00 USD,−0.06%,698.50 USD,0.07%,12,33.33%,0.388,0,,0
"45, 15, 95",−476.00 USD,−0.05%,688.50 USD,0.07%,12,33.33%,0.493,0,,0
"45, 15.5, 105","+2,828.00 USD",+0.28%,"1,246.50 USD",0.12%,15,26.67%,3.174,0,,0
"45, 15.5, 115","+1,591.50 USD",+0.16%,642.00 USD,0.06%,15,26.67%,2.215,0,,0
