PARAMETERS,NETPROFITAMOUNT,NETPROFITPERCENT,MAXDRAWDOWNAMOUNT,MAXDRAWDOWNPERCENT,CLOSEDTRADES,PERCENTPROFITABLE,PROFITFACTOR,AVERAGETRADEAMOUNT,AVERAGETRADEPERCENT,AVGERAGEBARSINTRADES
"10, 10, 105","−2,765.00 USD",−0.28%,"3,538.50 USD",0.35%,24,29.17%,0.512,0,,0
"10, 10, 115","−2,536.50 USD",−0.25%,"3,527.00 USD",0.35%,25,32.00%,0.714,0,,0
"10, 10, 125","−3,196.00 USD",−0.32%,"3,753.50 USD",0.38%,20,25.00%,0.234,0,,0
"10, 10, 135","−2,993.00 USD",−0.30%,"3,929.50 USD",0.39%,21,14.29%,0.211,0,,0
"10, 10, 145","−1,545.50 USD",−0.15%,"2,898.00 USD",0.29%,24,16.67%,0.538,0,,0
"10, 10, 25",−98.50 USD,−0.01%,"1,832.00 USD",0.18%,11,45.45%,0.723,0,,0
"10, 10, 35",+373.50 USD,+0.04%,903.50 USD,0.09%,15,33.33%,1.601,0,,0
"10, 10, 45",−220.50 USD,−0.02%,989.00 USD,0.10%,16,37.50%,1.67,0,,0
"10, 10, 55",−652.50 USD,−0.07%,"1,405.00 USD",0.14%,17,41.18%,1.482,0,,0
"10, 10, 65","−1,100.00 USD",−0.11%,"2,063.00 USD",0.21%,18,38.89%,1.293,0,,0
"10, 10, 75",−942.00 USD,−0.09%,"2,110.00 USD",0.21%,19,36.84%,1.099,0,,0
"10, 10, 85",−944.50 USD,−0.09%,"2,458.50 USD",0.25%,22,36.36%,1.071,0,,0
"10, 10, 95","−2,745.00 USD",−0.27%,"3,164.50 USD",0.32%,24,29.17%,0.277,0,,0
"10, 10.5, 105","−1,597.00 USD",−0.16%,"2,001.50 USD",0.20%,27,18.52%,0.228,0,,0
"10, 10.5, 115","−1,792.50 USD",−0.18%,"2,197.00 USD",0.22%,28,17.86%,0.208,0,,0
"10, 10.5, 125","−1,569.00 USD",−0.16%,"1,973.50 USD",0.20%,24,12.50%,0.235,0,,0
"10, 10.5, 135","−1,648.00 USD",−0.16%,"2,052.50 USD",0.21%,24,12.50%,0.226,0,,0
"10, 10.5, 145","−1,801.00 USD",−0.18%,"2,205.50 USD",0.22%,24,8.33%,0.204,0,,0
"10, 10.5, 25",−505.50 USD,−0.05%,862.00 USD,0.09%,11,45.45%,0.277,0,,0
"10, 10.5, 35","−9,382.00 USD",−0.94%,"10,054.00 USD",1.01%,14,35.71%,0.025,0,,0
"10, 10.5, 45",−556.50 USD,−0.06%,946.50 USD,0.09%,16,37.50%,0.319,0,,0
"10, 10.5, 55",−853.50 USD,−0.09%,"1,150.00 USD",0.12%,18,33.33%,0.221,0,,0
"10, 10.5, 65","−1,246.50 USD",−0.12%,"1,285.50 USD",0.13%,24,25.00%,0.13,0,,0
"10, 10.5, 75","−1,321.00 USD",−0.13%,"1,360.00 USD",0.14%,24,25.00%,0.124,0,,0
"10, 10.5, 85","−1,212.00 USD",−0.12%,"1,616.50 USD",0.16%,26,23.08%,0.309,0,,0
"10, 10.5, 95","−1,348.00 USD",−0.13%,"1,752.50 USD",0.18%,27,22.22%,0.287,0,,0
"10, 11, 105","−2,794.50 USD",−0.28%,"7,292.00 USD",0.73%,23,17.39%,0.196,0,,0
"10, 11, 115","−3,092.50 USD",−0.31%,"7,318.00 USD",0.73%,23,17.39%,0.177,0,,0
"10, 11, 125","−2,802.50 USD",−0.28%,"6,731.00 USD",0.67%,18,22.22%,0.183,0,,0
"10, 11, 135","−3,049.00 USD",−0.30%,"6,731.00 USD",0.67%,18,22.22%,0.182,0,,0
"10, 11, 145","−5,057.00 USD",−0.51%,"6,873.50 USD",0.69%,20,20.00%,0.349,0,,0
"10, 11, 25","+1,425.00 USD",+0.14%,831.00 USD,0.08%,6,33.33%,1.115,0,,0
"10, 11, 35","−4,399.50 USD",−0.44%,"6,837.50 USD",0.68%,11,18.18%,0.043,0,,0
"10, 11, 45","−3,714.50 USD",−0.37%,"6,837.50 USD",0.68%,13,23.08%,0.045,0,,0
"10, 11, 55","−3,590.50 USD",−0.36%,"6,837.50 USD",0.68%,14,21.43%,0.05,0,,0
"10, 11, 65","−3,657.00 USD",−0.36%,"6,939.00 USD",0.69%,16,18.75%,0.046,0,,0
"10, 11, 75","−3,003.50 USD",−0.30%,"6,979.50 USD",0.70%,19,21.05%,0.215,0,,0
"10, 11, 85","−3,028.50 USD",−0.30%,"6,986.00 USD",0.70%,19,21.05%,0.213,0,,0
"10, 11, 95","−2,792.00 USD",−0.28%,"7,090.00 USD",0.71%,20,20.00%,0.209,0,,0
"10, 11.5, 105",+141.00 USD,+0.02%,"6,751.50 USD",0.67%,26,30.77%,0.533,0,,0
"10, 11.5, 115",+229.00 USD,+0.02%,"6,751.50 USD",0.67%,26,30.77%,0.528,0,,0
"10, 11.5, 125","−1,407.00 USD",−0.14%,"6,731.00 USD",0.67%,20,30.00%,0.315,0,,0
"10, 11.5, 135","−1,781.00 USD",−0.18%,"6,731.00 USD",0.67%,20,30.00%,0.293,0,,0
"10, 11.5, 145","−2,077.00 USD",−0.21%,"6,731.00 USD",0.67%,22,27.27%,0.277,0,,0
"10, 11.5, 25","+2,563.50 USD",+0.26%,"1,683.00 USD",0.17%,11,63.64%,4.838,0,,0
"10, 11.5, 35","+2,877.00 USD",+0.29%,636.50 USD,0.06%,13,53.85%,4.971,0,,0
"10, 11.5, 45","+5,047.50 USD",+0.50%,"1,080.00 USD",0.11%,14,42.86%,4.137,0,,0
"10, 11.5, 55","+4,932.00 USD",+0.49%,"1,322.50 USD",0.13%,18,38.89%,3.145,0,,0
"10, 11.5, 65","+4,959.50 USD",+0.50%,"1,512.50 USD",0.15%,20,40.00%,2.738,0,,0
"10, 11.5, 75","+4,554.50 USD",+0.45%,"1,322.50 USD",0.13%,23,39.13%,2.365,0,,0
"10, 11.5, 85","+4,358.50 USD",+0.44%,"1,495.00 USD",0.15%,24,33.33%,2.08,0,,0
"10, 11.5, 95",−76.00 USD,−0.01%,"6,751.50 USD",0.67%,26,30.77%,0.545,0,,0
"10, 12, 105","−1,251.00 USD",−0.13%,"1,809.50 USD",0.18%,30,26.67%,0.52,0,,0
"10, 12, 115","−1,111.50 USD",−0.11%,"1,730.00 USD",0.17%,33,33.33%,0.599,0,,0
"10, 12, 125",−840.00 USD,−0.08%,"1,860.50 USD",0.19%,26,26.92%,0.614,0,,0
"10, 12, 135","−1,476.00 USD",−0.15%,"2,155.00 USD",0.22%,27,25.93%,0.462,0,,0
"10, 12, 145","−1,616.00 USD",−0.16%,"2,225.00 USD",0.22%,27,25.93%,0.426,0,,0
"10, 12, 25","+8,229.50 USD",+0.82%,"3,344.50 USD",0.33%,7,42.86%,11.13,0,,0
"10, 12, 35","+8,482.00 USD",+0.85%,688.50 USD,0.07%,8,37.50%,16.729,0,,0
"10, 12, 45","+8,669.00 USD",+0.87%,"1,424.00 USD",0.14%,9,22.22%,6.209,0,,0
"10, 12, 55","+7,382.50 USD",+0.74%,"1,803.00 USD",0.18%,16,31.25%,5.375,0,,0
"10, 12, 65","+6,342.00 USD",+0.63%,"1,810.50 USD",0.18%,16,31.25%,5.244,0,,0
"10, 12, 75","+4,951.50 USD",+0.50%,"1,739.50 USD",0.17%,20,20.00%,3.288,0,,0
"10, 12, 85",+246.50 USD,+0.02%,"1,541.50 USD",0.15%,26,30.77%,1.127,0,,0
"10, 12, 95",−900.00 USD,−0.09%,"1,530.50 USD",0.15%,28,28.57%,0.601,0,,0
"10, 12.5, 105","−2,089.50 USD",−0.21%,"2,179.00 USD",0.22%,19,10.53%,0.071,0,,0
"10, 12.5, 115","−2,170.50 USD",−0.22%,"2,260.00 USD",0.23%,20,15.00%,0.076,0,,0
"10, 12.5, 125","−1,716.00 USD",−0.17%,"1,805.50 USD",0.18%,17,17.65%,0.091,0,,0
"10, 12.5, 135","−1,965.50 USD",−0.20%,"2,055.00 USD",0.21%,19,21.05%,0.119,0,,0
"10, 12.5, 145","−2,256.00 USD",−0.23%,"2,345.50 USD",0.23%,21,23.81%,0.112,0,,0
"10, 12.5, 25",−149.00 USD,−0.01%,352.50 USD,0.04%,7,42.86%,0.593,0,,0
"10, 12.5, 35",−397.50 USD,−0.04%,484.00 USD,0.05%,8,37.50%,0.353,0,,0
"10, 12.5, 45","+2,091.50 USD",+0.21%,"1,346.50 USD",0.13%,12,41.67%,3.508,0,,0
"10, 12.5, 55",+370.00 USD,+0.04%,"1,801.50 USD",0.18%,14,21.43%,1.234,0,,0
"10, 12.5, 65",+191.50 USD,+0.02%,"1,980.00 USD",0.20%,16,18.75%,1.112,0,,0
"10, 12.5, 75",+136.50 USD,+0.01%,"2,035.00 USD",0.20%,16,18.75%,1.078,0,,0
"10, 12.5, 85",+106.00 USD,+0.01%,"2,065.50 USD",0.21%,16,18.75%,1.059,0,,0
"10, 12.5, 95",−126.50 USD,−0.01%,"2,298.00 USD",0.23%,17,11.76%,0.937,0,,0
"10, 13, 105",+79.50 USD,+0.01%,"2,092.00 USD",0.21%,19,26.32%,1.043,0,,0
"10, 13, 115",−23.50 USD,0.00%,"2,195.00 USD",0.22%,19,21.05%,0.988,0,,0
"10, 13, 125",+307.50 USD,+0.03%,"1,885.00 USD",0.19%,15,20.00%,1.194,0,,0
"10, 13, 135","−1,786.00 USD",−0.18%,"1,896.50 USD",0.19%,16,12.50%,0.079,0,,0
"10, 13, 145","−1,919.50 USD",−0.19%,"2,030.00 USD",0.20%,16,12.50%,0.074,0,,0
"10, 13, 25",−195.00 USD,−0.02%,313.00 USD,0.03%,7,42.86%,0.167,0,,0
"10, 13, 35",−316.50 USD,−0.03%,381.00 USD,0.04%,9,33.33%,0.11,0,,0
"10, 13, 45","−2,263.50 USD",−0.23%,"3,797.00 USD",0.38%,12,33.33%,0.056,0,,0
"10, 13, 55","−2,648.00 USD",−0.26%,"3,860.50 USD",0.39%,14,28.57%,0.048,0,,0
"10, 13, 65","−2,648.00 USD",−0.26%,"3,860.50 USD",0.39%,14,28.57%,0.048,0,,0
"10, 13, 75","+1,655.50 USD",+0.17%,"1,436.00 USD",0.14%,16,31.25%,0.232,0,,0
"10, 13, 85","+1,342.00 USD",+0.13%,"1,847.00 USD",0.18%,17,23.53%,0.16,0,,0
"10, 13, 95",+234.50 USD,+0.02%,"1,937.00 USD",0.19%,19,26.32%,1.137,0,,0
"10, 13.5, 105",−284.00 USD,−0.03%,890.50 USD,0.09%,14,42.86%,0.75,0,,0
"10, 13.5, 115",−843.00 USD,−0.08%,"1,050.00 USD",0.11%,15,40.00%,0.503,0,,0
"10, 13.5, 125",−228.00 USD,−0.02%,449.00 USD,0.04%,11,45.45%,0.764,0,,0
"10, 13.5, 135",−239.50 USD,−0.02%,449.00 USD,0.04%,11,45.45%,0.752,0,,0
"10, 13.5, 145",−392.50 USD,−0.04%,497.00 USD,0.05%,11,45.45%,0.649,0,,0
"10, 13.5, 25","+1,480.50 USD",+0.15%,924.50 USD,0.09%,3,66.67%,5.584,0,,0
"10, 13.5, 35","+2,209.50 USD",+0.22%,"1,122.50 USD",0.11%,5,40.00%,5.241,0,,0
"10, 13.5, 45","+1,439.00 USD",+0.14%,"1,126.50 USD",0.11%,7,28.57%,3.31,0,,0
"10, 13.5, 55",−533.50 USD,−0.05%,660.50 USD,0.07%,7,28.57%,0.158,0,,0
"10, 13.5, 65",−501.50 USD,−0.05%,628.50 USD,0.06%,9,44.44%,0.275,0,,0
"10, 13.5, 75",−534.00 USD,−0.05%,661.00 USD,0.07%,11,45.45%,0.331,0,,0
"10, 13.5, 85","+1,274.50 USD",+0.13%,"1,208.50 USD",0.12%,12,41.67%,2.445,0,,0
"10, 13.5, 95",−568.50 USD,−0.06%,890.50 USD,0.09%,13,38.46%,0.5,0,,0
"10, 14, 105","−2,453.50 USD",−0.25%,"4,014.00 USD",0.40%,9,33.33%,0.157,0,,0
"10, 14, 115",−978.00 USD,−0.10%,"1,127.00 USD",0.11%,10,40.00%,0.35,0,,0
"10, 14, 125",−298.50 USD,−0.03%,488.00 USD,0.05%,7,42.86%,0.604,0,,0
"10, 14, 135",−77.00 USD,−0.01%,553.00 USD,0.06%,8,50.00%,0.898,0,,0
"10, 14, 145",−77.00 USD,−0.01%,553.00 USD,0.06%,8,50.00%,0.898,0,,0
"10, 14, 25","−9,987.50 USD",−1.00%,"11,024.50 USD",1.10%,1,0.00%,0,0,,0
"10, 14, 35","−10,055.00 USD",−1.01%,"11,024.50 USD",1.10%,2,0.00%,0,0,,0
"10, 14, 45","−10,276.50 USD",−1.03%,"11,024.50 USD",1.10%,3,0.00%,0,0,,0
"10, 14, 55","−10,276.50 USD",−1.03%,"11,024.50 USD",1.10%,3,0.00%,0,0,,0
"10, 14, 65","−10,199.50 USD",−1.02%,"11,024.50 USD",1.10%,4,25.00%,0.011,0,,0
"10, 14, 75","−9,288.00 USD",−0.93%,"11,024.50 USD",1.10%,7,28.57%,0.049,0,,0
"10, 14, 85","−9,632.00 USD",−0.96%,"11,347.50 USD",1.13%,8,25.00%,0.047,0,,0
"10, 14, 95","−2,320.00 USD",−0.23%,"4,014.00 USD",0.40%,9,33.33%,0.176,0,,0
"10, 14.5, 105",−966.50 USD,−0.10%,972.50 USD,0.10%,10,10.00%,0.045,0,,0
"10, 14.5, 115",−868.50 USD,−0.09%,983.00 USD,0.10%,11,18.18%,0.151,0,,0
"10, 14.5, 125",−418.00 USD,−0.04%,579.50 USD,0.06%,10,30.00%,0.524,0,,0
"10, 14.5, 135",−455.50 USD,−0.05%,615.50 USD,0.06%,11,36.36%,0.514,0,,0
"10, 14.5, 145",−539.00 USD,−0.05%,674.50 USD,0.07%,11,36.36%,0.472,0,,0
"10, 14.5, 25","−2,903.00 USD",−0.29%,"3,639.00 USD",0.36%,2,100.00%,,0,,0
"10, 14.5, 35","−2,873.00 USD",−0.29%,"3,639.00 USD",0.36%,2,100.00%,,0,,0
"10, 14.5, 45","+1,029.50 USD",+0.10%,862.00 USD,0.09%,4,75.00%,18.303,0,,0
"10, 14.5, 55",−99.00 USD,−0.01%,244.00 USD,0.02%,5,40.00%,0.656,0,,0
"10, 14.5, 65",−217.00 USD,−0.02%,272.00 USD,0.03%,6,33.33%,0.39,0,,0
"10, 14.5, 75",−282.50 USD,−0.03%,292.50 USD,0.03%,6,33.33%,0.205,0,,0
"10, 14.5, 85",−503.50 USD,−0.05%,513.50 USD,0.05%,8,25.00%,0.127,0,,0
"10, 14.5, 95",−725.00 USD,−0.07%,757.00 USD,0.08%,9,22.22%,0.091,0,,0
"10, 15, 105",−643.00 USD,−0.06%,711.50 USD,0.07%,10,20.00%,0.199,0,,0
"10, 15, 115",−919.50 USD,−0.09%,988.00 USD,0.10%,11,18.18%,0.148,0,,0
"10, 15, 125",−255.00 USD,−0.03%,502.50 USD,0.05%,10,40.00%,0.604,0,,0
"10, 15, 135",−710.00 USD,−0.07%,841.00 USD,0.08%,12,33.33%,0.354,0,,0
"10, 15, 145",−728.50 USD,−0.07%,859.50 USD,0.09%,12,33.33%,0.348,0,,0
"10, 15, 25","+1,137.00 USD",+0.11%,"1,109.50 USD",0.11%,4,50.00%,6.629,0,,0
"10, 15, 35",−158.00 USD,−0.02%,342.00 USD,0.03%,6,33.33%,0.52,0,,0
"10, 15, 45",−269.00 USD,−0.03%,353.50 USD,0.04%,8,25.00%,0.389,0,,0
"10, 15, 55",−454.50 USD,−0.05%,539.00 USD,0.05%,9,22.22%,0.273,0,,0
"10, 15, 65",−454.50 USD,−0.05%,539.00 USD,0.05%,9,22.22%,0.273,0,,0
"10, 15, 75",−454.50 USD,−0.05%,539.00 USD,0.05%,9,22.22%,0.273,0,,0
"10, 15, 85",−525.00 USD,−0.05%,610.50 USD,0.06%,10,20.00%,0.234,0,,0
"10, 15, 95",−575.50 USD,−0.06%,661.00 USD,0.07%,10,20.00%,0.218,0,,0
"10, 15.5, 105","+1,045.50 USD",+0.10%,838.50 USD,0.08%,10,20.00%,2.4,0,,0
"10, 15.5, 115",+860.00 USD,+0.09%,"1,024.00 USD",0.10%,11,18.18%,1.922,0,,0
"10, 15.5, 125","+1,212.00 USD",+0.12%,675.00 USD,0.07%,10,30.00%,3.077,0,,0
"10, 15.5, 135","+1,094.00 USD",+0.11%,675.00 USD,0.07%,10,30.00%,2.56,0,,0
"10, 15.5, 145",+814.50 USD,+0.08%,802.00 USD,0.08%,11,27.27%,1.83,0,,0
"10, 15.5, 25",+906.00 USD,+0.09%,"1,037.00 USD",0.10%,6,33.33%,6.252,0,,0
"10, 15.5, 35","+1,403.00 USD",+0.14%,619.00 USD,0.06%,6,33.33%,9.133,0,,0
"10, 15.5, 45","+1,403.00 USD",+0.14%,619.00 USD,0.06%,6,33.33%,9.133,0,,0
"10, 15.5, 55","+1,303.50 USD",+0.13%,619.00 USD,0.06%,7,28.57%,5.792,0,,0
"10, 15.5, 65","+1,234.50 USD",+0.12%,818.50 USD,0.08%,10,30.00%,3.035,0,,0
"10, 15.5, 75","+1,209.00 USD",+0.12%,818.50 USD,0.08%,10,30.00%,2.913,0,,0
"10, 15.5, 85","+1,062.50 USD",+0.11%,838.50 USD,0.08%,10,20.00%,2.455,0,,0
"10, 15.5, 95","+1,045.50 USD",+0.10%,838.50 USD,0.08%,10,20.00%,2.4,0,,0
"10, 16, 105","+1,086.50 USD",+0.11%,737.50 USD,0.07%,12,25.00%,2.483,0,,0
"10, 16, 115","+1,025.00 USD",+0.10%,799.00 USD,0.08%,12,25.00%,2.291,0,,0
"10, 16, 125",−664.00 USD,−0.07%,766.00 USD,0.08%,12,25.00%,0.216,0,,0
"10, 16, 135",−689.00 USD,−0.07%,791.00 USD,0.08%,12,25.00%,0.21,0,,0
"10, 16, 145",−779.50 USD,−0.08%,881.50 USD,0.09%,12,25.00%,0.19,0,,0
"10, 16, 25","+2,074.50 USD",+0.21%,"1,627.50 USD",0.16%,5,40.00%,21.141,0,,0
"10, 16, 35","+1,726.50 USD",+0.17%,"1,644.00 USD",0.16%,7,28.57%,4.974,0,,0
"10, 16, 45","+1,071.00 USD",+0.11%,753.00 USD,0.08%,9,11.11%,2.645,0,,0
"10, 16, 55","+1,025.00 USD",+0.10%,799.00 USD,0.08%,10,20.00%,2.448,0,,0
"10, 16, 65","+1,025.00 USD",+0.10%,799.00 USD,0.08%,10,20.00%,2.448,0,,0
"10, 16, 75",+938.50 USD,+0.09%,885.50 USD,0.09%,11,18.18%,2.181,0,,0
"10, 16, 85",+938.50 USD,+0.09%,885.50 USD,0.09%,11,18.18%,2.181,0,,0
"10, 16, 95",+803.50 USD,+0.08%,"1,020.50 USD",0.10%,12,16.67%,1.864,0,,0
"10, 16.5, 105",−171.00 USD,−0.02%,"1,649.50 USD",0.16%,13,15.38%,0.89,0,,0
"10, 16.5, 115",−230.50 USD,−0.02%,"1,709.00 USD",0.17%,15,20.00%,0.858,0,,0
"10, 16.5, 125","−5,547.00 USD",−0.55%,"6,361.00 USD",0.64%,15,13.33%,0.003,0,,0
"10, 16.5, 135","−1,747.50 USD",−0.17%,"1,849.50 USD",0.18%,15,13.33%,0.01,0,,0
"10, 16.5, 145","−1,482.00 USD",−0.15%,"1,584.00 USD",0.16%,15,20.00%,0.065,0,,0
"10, 16.5, 25",−88.50 USD,−0.01%,187.50 USD,0.02%,5,20.00%,0.342,0,,0
"10, 16.5, 35",−163.50 USD,−0.02%,603.00 USD,0.06%,8,37.50%,0.748,0,,0
"10, 16.5, 45",−301.50 USD,−0.03%,683.50 USD,0.07%,9,33.33%,0.612,0,,0
"10, 16.5, 55",−349.50 USD,−0.03%,715.00 USD,0.07%,9,33.33%,0.568,0,,0
"10, 16.5, 65",+485.50 USD,+0.05%,993.00 USD,0.10%,10,20.00%,1.508,0,,0
"10, 16.5, 75",+56.00 USD,+0.01%,"1,422.50 USD",0.14%,12,16.67%,1.04,0,,0
"10, 16.5, 85",+39.00 USD,+0.00%,"1,439.50 USD",0.14%,12,16.67%,1.028,0,,0
"10, 16.5, 95",+30.50 USD,+0.00%,"1,448.00 USD",0.14%,12,16.67%,1.022,0,,0
"10, 17, 105","−3,055.00 USD",−0.31%,"3,266.00 USD",0.33%,15,20.00%,0.172,0,,0
"10, 17, 115","−3,399.50 USD",−0.34%,"3,412.50 USD",0.34%,16,18.75%,0.159,0,,0
"10, 17, 125","−3,129.50 USD",−0.31%,"3,594.50 USD",0.36%,15,26.67%,0.21,0,,0
"10, 17, 135","−3,145.00 USD",−0.31%,"3,793.50 USD",0.38%,15,20.00%,0.113,0,,0
"10, 17, 145","−3,460.00 USD",−0.35%,"3,898.00 USD",0.39%,16,12.50%,0.049,0,,0
"10, 17, 25",+1.00 USD,+0.00%,610.50 USD,0.06%,7,28.57%,1.845,0,,0
"10, 17, 35",+71.00 USD,+0.01%,668.50 USD,0.07%,9,22.22%,1.248,0,,0
"10, 17, 45",−869.00 USD,−0.09%,"1,137.00 USD",0.11%,10,30.00%,1.478,0,,0
"10, 17, 55","−1,412.00 USD",−0.14%,"1,521.50 USD",0.15%,10,30.00%,1.118,0,,0
"10, 17, 65","−1,177.00 USD",−0.12%,"1,696.00 USD",0.17%,11,36.36%,1.413,0,,0
"10, 17, 75","−1,501.50 USD",−0.15%,"2,201.50 USD",0.22%,12,33.33%,0.359,0,,0
"10, 17, 85","−1,886.00 USD",−0.19%,"2,314.00 USD",0.23%,12,33.33%,0.316,0,,0
"10, 17, 95","−2,475.00 USD",−0.25%,"2,550.50 USD",0.26%,14,21.43%,0.22,0,,0
"10, 17.5, 105","−1,238.50 USD",−0.12%,"1,768.50 USD",0.18%,12,25.00%,0.151,0,,0
"10, 17.5, 115","−1,732.00 USD",−0.17%,"2,251.50 USD",0.23%,13,23.08%,0.11,0,,0
"10, 17.5, 125","−2,044.50 USD",−0.20%,"2,449.00 USD",0.24%,10,0.00%,0,0,,0
"10, 17.5, 135","−2,214.00 USD",−0.22%,"2,618.50 USD",0.26%,12,8.33%,0.037,0,,0
"10, 17.5, 145","−2,214.00 USD",−0.22%,"2,618.50 USD",0.26%,12,8.33%,0.037,0,,0
"10, 17.5, 25","+1,826.00 USD",+0.18%,"2,906.50 USD",0.29%,4,25.00%,0.206,0,,0
"10, 17.5, 35",−649.50 USD,−0.06%,752.00 USD,0.08%,6,16.67%,0.125,0,,0
"10, 17.5, 45",−702.50 USD,−0.07%,785.50 USD,0.08%,6,16.67%,0.116,0,,0
"10, 17.5, 55","−1,088.50 USD",−0.11%,"1,532.00 USD",0.15%,8,12.50%,0.078,0,,0
"10, 17.5, 65","−1,145.00 USD",−0.11%,"1,588.50 USD",0.16%,9,11.11%,0.075,0,,0
"10, 17.5, 75","−1,087.50 USD",−0.11%,"1,588.50 USD",0.16%,10,20.00%,0.139,0,,0
"10, 17.5, 85","−1,135.00 USD",−0.11%,"1,619.50 USD",0.16%,10,20.00%,0.134,0,,0
"10, 17.5, 95","−1,270.50 USD",−0.13%,"1,755.00 USD",0.18%,11,18.18%,0.121,0,,0
"10, 18, 105","−1,373.50 USD",−0.14%,"1,778.00 USD",0.18%,17,23.53%,0.234,0,,0
"10, 18, 115","−4,781.00 USD",−0.48%,"6,237.00 USD",0.62%,14,21.43%,0.064,0,,0
"10, 18, 125","−5,122.50 USD",−0.51%,"6,237.00 USD",0.62%,15,20.00%,0.06,0,,0
"10, 18, 135","−1,724.50 USD",−0.17%,"2,129.00 USD",0.21%,15,20.00%,0.159,0,,0
"10, 18, 145","−1,734.50 USD",−0.17%,"2,139.00 USD",0.21%,15,20.00%,0.158,0,,0
"10, 18, 25","−13,478.50 USD",−1.35%,"13,879.00 USD",1.39%,4,25.00%,0.004,0,,0
"10, 18, 35","−11,217.50 USD",−1.12%,"13,242.00 USD",1.32%,6,33.33%,0.026,0,,0
"10, 18, 45","−9,278.50 USD",−0.93%,"11,303.00 USD",1.13%,10,30.00%,0.04,0,,0
"10, 18, 55",−332.00 USD,−0.03%,676.00 USD,0.07%,12,33.33%,0.558,0,,0
"10, 18, 65",−566.50 USD,−0.06%,910.50 USD,0.09%,13,30.77%,0.425,0,,0
"10, 18, 75",−606.00 USD,−0.06%,950.00 USD,0.10%,14,35.71%,0.439,0,,0
"10, 18, 85",−658.00 USD,−0.07%,"1,002.00 USD",0.10%,14,35.71%,0.419,0,,0
"10, 18, 95","−1,166.00 USD",−0.12%,"1,570.50 USD",0.16%,16,31.25%,0.289,0,,0
"10, 18.5, 105","+3,065.00 USD",+0.31%,"1,182.00 USD",0.12%,13,46.15%,4.337,0,,0
"10, 18.5, 115","+3,395.50 USD",+0.34%,"1,182.00 USD",0.12%,13,53.85%,5.844,0,,0
"10, 18.5, 125","+3,395.50 USD",+0.34%,"1,182.00 USD",0.12%,13,53.85%,5.844,0,,0
"10, 18.5, 135","+3,172.50 USD",+0.32%,"1,182.00 USD",0.12%,14,42.86%,4.75,0,,0
"10, 18.5, 145","+2,966.50 USD",+0.30%,"1,182.00 USD",0.12%,15,40.00%,3.82,0,,0
"10, 18.5, 25","+2,078.00 USD",+0.21%,220.00 USD,0.02%,4,50.00%,23.835,0,,0
"10, 18.5, 35","+2,078.00 USD",+0.21%,220.00 USD,0.02%,4,50.00%,23.835,0,,0
"10, 18.5, 45","+2,040.00 USD",+0.20%,243.50 USD,0.02%,4,50.00%,16.814,0,,0
"10, 18.5, 55","−1,836.50 USD",−0.18%,"4,070.50 USD",0.41%,5,60.00%,15.917,0,,0
"10, 18.5, 65","+1,482.00 USD",+0.15%,"2,480.50 USD",0.25%,9,44.44%,2.505,0,,0
"10, 18.5, 75","+2,901.50 USD",+0.29%,"2,581.50 USD",0.26%,11,45.45%,3.673,0,,0
"10, 18.5, 85","+3,325.00 USD",+0.33%,993.50 USD,0.10%,12,50.00%,6.049,0,,0
"10, 18.5, 95","+3,136.50 USD",+0.31%,"1,182.00 USD",0.12%,13,46.15%,4.703,0,,0
"10, 19, 105","+3,164.00 USD",+0.32%,993.50 USD,0.10%,8,50.00%,6.711,0,,0
"10, 19, 115","+3,167.00 USD",+0.32%,993.50 USD,0.10%,7,57.14%,6.748,0,,0
"10, 19, 125","+3,167.00 USD",+0.32%,993.50 USD,0.10%,7,57.14%,6.748,0,,0
"10, 19, 135","+2,978.50 USD",+0.30%,"1,182.00 USD",0.12%,8,50.00%,5.028,0,,0
"10, 19, 145","+2,955.00 USD",+0.30%,"1,182.00 USD",0.12%,8,50.00%,4.873,0,,0
"10, 19, 25","−10,599.00 USD",−1.06%,"12,626.50 USD",1.26%,2,0.00%,0,0,,0
"10, 19, 35","−10,638.00 USD",−1.06%,"12,665.50 USD",1.27%,3,0.00%,0,0,,0
"10, 19, 45",−191.50 USD,−0.02%,295.00 USD,0.03%,3,0.00%,0,0,,0
"10, 19, 55","+3,867.00 USD",+0.39%,220.00 USD,0.02%,4,50.00%,43.495,0,,0
"10, 19, 65","+1,939.50 USD",+0.19%,243.50 USD,0.02%,5,40.00%,9.451,0,,0
"10, 19, 75","+1,929.50 USD",+0.19%,253.50 USD,0.03%,5,40.00%,9.056,0,,0
"10, 19, 85","+1,870.50 USD",+0.19%,449.50 USD,0.04%,6,50.00%,6.72,0,,0
"10, 19, 95","+1,663.00 USD",+0.17%,449.50 USD,0.04%,7,42.86%,4.111,0,,0
"10, 19.5, 105","+1,796.50 USD",+0.18%,"1,449.50 USD",0.14%,11,45.45%,4.818,0,,0
"10, 19.5, 115","+1,567.50 USD",+0.16%,"1,275.00 USD",0.13%,8,50.00%,6.296,0,,0
"10, 19.5, 125","+1,384.00 USD",+0.14%,"1,275.00 USD",0.13%,9,44.44%,3.886,0,,0
"10, 19.5, 135","+1,157.50 USD",+0.12%,"1,501.50 USD",0.15%,10,40.00%,2.64,0,,0
