"Open P&L","Open P&L %","Net profit: All","Net profit %: All","Net profit: Long","Net profit %: Long","Net profit: Short","Net profit %: Short","Gross profit: All","Gross profit %: All","Gross profit: Long","Gross profit %: Long","Gross profit: Short","Gross profit %: Short","Gross loss: All","Gross loss %: All","Gross loss: Long","Gross loss %: Long","Gross loss: Short","Gross loss %: Short","Commission paid: All","Commission paid: Long","Commission paid: Short","Buy & hold return","Buy & hold return %","Max equity run-up","Max equity run-up %","Max equity drawdown","Max equity drawdown %","Max contracts held: All","Max contracts held: Long","Max contracts held: Short","Total trades: All","Total trades: Long","Total trades: Short","Total open trades: All","Total open trades: Long","Total open trades: Short","Winning trades: All","Winning trades: Long","Winning trades: Short","Losing trades: All","Losing trades: Long","Losing trades: Short","Percent profitable: All","Percent profitable: Long","Percent profitable: Short","Avg P&L: All","Avg P&L %: All","Avg P&L: Long","Avg P&L %: Long","Avg P&L: Short","Avg P&L %: Short","Avg winning trade: All","Avg winning trade %: All","Avg winning trade: Long","Avg winning trade %: Long","Avg winning trade: Short","Avg winning trade %: Short","Avg losing trade: All","Avg losing trade %: All","Avg losing trade: Long","Avg losing trade %: Long","Avg losing trade: Short","Avg losing trade %: Short","Ratio avg win / avg loss: All","Ratio avg win / avg loss: Long","Ratio avg win / avg loss: Short","Largest winning trade: All","Largest winning trade: Long","Largest winning trade: Short","Largest winning trade percent: All","Largest winning trade percent: Long","Largest winning trade percent: Short","Largest losing trade: All","Largest losing trade: Long","Largest losing trade: Short","Largest losing trade percent: All","Largest losing trade percent: Long","Largest losing trade percent: Short","Avg # bars in trades: All","Avg # bars in trades: Long","Avg # bars in trades: Short","Avg # bars in winning trades: All","Avg # bars in winning trades: Long","Avg # bars in winning trades: Short","Avg # bars in losing trades: All","Avg # bars in losing trades: Long","Avg # bars in losing trades: Short","Sharpe ratio","Sortino ratio","Profit factor: All","Profit factor: Long","Profit factor: Short","Margin calls: All","Margin calls: Long","Margin calls: Short","_setTime_","_parseTime_","_duration_","comment","__ATR Length","__Supertrend Factor","__ATR Buffer Multiplier","__Fixed Hard Stop Distance (points)","__Use UTC Time (off=Exchange Time)","__Inputs in status line"
4715,0.48,-17364,-1.74,-959,-0.1,-16405,-1.64,46303.5,4.63,27091.5,2.71,19212,1.92,63667.5,6.37,28050.5,2.81,35617,3.56,0,0,0,228586.34,22.86,8943.5,0.89,25134,2.5,1,1,1,119,59,60,1,1,0,38,23,15,81,36,45,31.93,38.98,25,-145.92,-0.13,-16.25,0,-273.42,-0.26,1218.51,1.18,1177.89,1.15,1280.8,1.22,786.02,0.75,779.18,0.73,791.49,0.76,1.55,1.512,1.618,4795.5,4795.5,3746.5,4.9,4.9,3.48,2885.5,2103,2885.5,2.71,1.91,2.71,56,59,53,95,91,101,38,39,37,-0.129,-0.174,0.727,0.966,0.539,0,0,0,1,3.4,4.5,"Changed ""ATR Buffer Multiplier"": 2 => 5.",19,4,5,398,true,true
0,0,-17317.5,-1.73,-7189.5,-0.72,-10128,-1.01,10398.5,1.04,5492.5,0.55,4906,0.49,27716,2.77,12682,1.27,15034,1.5,0,0,0,219684.1,21.97,4392,0.44,20086.5,2.01,1,1,1,65,31,34,0,0,0,9,4,5,56,27,29,13.85,12.9,14.71,-266.42,-0.26,-231.92,-0.22,-297.88,-0.29,1155.39,1.09,1373.13,1.31,981.2,0.92,494.93,0.47,469.7,0.45,518.41,0.5,2.334,2.923,1.893,2423,2423,2242.5,2.24,2.24,2.05,1287.5,1287.5,887.5,1.17,1.17,0.85,43,50,38,148,150,147,27,35,19,-0.431,-0.496,0.375,0.433,0.326,0,0,0,2.6,3.5,6.2,"Changed all parameters randomly.",18,6,2,398,true,true
5562.5,0.57,-16263.5,-1.63,-4435.5,-0.44,-11828,-1.18,33733.5,3.37,16669.5,1.67,17064,1.71,49997,5,21105,2.11,28892,2.89,0,0,0,226602.12,22.66,10384.5,1.05,23461,2.34,1,1,1,75,36,39,1,1,0,22,10,12,53,26,27,29.33,27.78,30.77,-216.85,-0.2,-123.21,-0.1,-303.28,-0.3,1533.34,1.48,1666.95,1.62,1422,1.35,943.34,0.9,811.73,0.77,1070.07,1.03,1.625,2.054,1.329,4649.5,4649.5,3329.5,4.7,4.7,3.11,2429.5,2293,2429.5,2.27,2.16,2.27,85,93,77,162,169,156,53,64,42,-0.129,-0.2,0.675,0.79,0.591,0,0,0,0.8,3.4,4.3,"Changed ""ATR Buffer Multiplier"": 2 => 5.",18,6,5,398,true,true
5652,0.56,17767.5,1.78,13501.5,1.35,4266,0.43,45980.5,4.6,27608,2.76,18372.5,1.84,28213,2.82,14106.5,1.41,14106.5,1.41,0,0,0,220488.32,22.05,25625,2.5,7508.5,0.74,1,1,1,58,31,27,1,1,0,20,11,9,38,20,18,34.48,35.48,33.33,306.34,0.3,435.53,0.44,158,0.14,2299.03,2.22,2509.82,2.46,2041.39,1.93,742.45,0.71,705.33,0.66,783.69,0.76,3.097,3.558,2.605,6534,6534,4811,6.78,6.78,4.43,1610.5,1610.5,1306,1.53,1.53,1.25,93,95,90,179,175,184,47,50,43,0.149,0.392,1.63,1.957,1.302,0,0,0,2.8,3.3,6.3,"Changed ""ATR Buffer Multiplier"": 1.5 => 4.",16,6.9,4,398,true,true
8112.5,0.8,15990,1.6,11216.5,1.12,4773.5,0.48,38771.5,3.88,22404,2.24,16367.5,1.64,22781.5,2.28,11187.5,1.12,11594,1.16,0,0,0,219490.33,21.95,26199,2.56,5789.5,0.57,1,1,1,55,28,27,1,1,0,17,9,8,38,19,19,30.91,32.14,29.63,290.73,0.29,400.59,0.42,176.8,0.16,2280.68,2.22,2489.33,2.47,2045.94,1.93,599.51,0.57,588.82,0.55,610.21,0.59,3.804,4.228,3.353,6423.5,6423.5,4811,6.66,6.66,4.43,1287.5,1287.5,1099.5,1.17,1.17,1.06,80,86,74,175,164,187,37,49,26,0.157,0.509,1.702,2.003,1.412,0,0,0,0.9,3.4,4.5,"Changed ""ATR Buffer Multiplier"": 4 => 3.",16,6.9,3,398,true,true
5143,0.53,-22418,-2.24,-6892.5,-0.69,-15525.5,-1.55,32313.5,3.23,16675,1.67,15638.5,1.56,54731.5,5.47,23567.5,2.36,31164,3.12,0,0,0,226828.61,22.68,8018.5,0.8,28635,2.85,1,1,1,98,47,51,1,1,0,30,17,13,68,30,38,30.61,36.17,25.49,-228.76,-0.21,-146.65,-0.12,-304.42,-0.29,1077.12,1.04,980.88,0.97,1202.96,1.14,804.88,0.77,785.58,0.74,820.11,0.79,1.338,1.249,1.467,4657.5,4657.5,3329.5,4.76,4.76,3.11,2429.5,2079,2429.5,2.26,1.91,2.26,64,64,64,113,99,131,43,44,41,-0.186,-0.24,0.59,0.708,0.502,0,0,0,2.6,3.6,6.3,"Changed all parameters randomly.",14,4.7,4,398,true,true
5145,0.53,-25569.5,-2.56,-8253,-0.83,-17316.5,-1.73,33227,3.32,17617.5,1.76,15609.5,1.56,58796.5,5.88,25870.5,2.59,32926,3.29,0,0,0,226849.68,22.68,7778.5,0.77,31546.5,3.14,1,1,1,101,49,52,1,1,0,30,17,13,71,32,39,29.7,34.69,25,-253.16,-0.24,-168.43,-0.15,-333.01,-0.32,1107.57,1.07,1036.32,1.02,1200.73,1.14,828.12,0.79,808.45,0.76,844.26,0.81,1.337,1.282,1.422,4657.5,4657.5,3329.5,4.76,4.76,3.11,2429.5,2079,2429.5,2.26,1.91,2.26,62,63,61,114,99,134,40,44,37,-0.212,-0.266,0.565,0.681,0.474,0,0,0,1,3.4,4.5,"Changed ""ATR Length"": 14 => 16.",16,4.7,4,398,true,true
5668.5,0.57,2893,0.29,9011.5,0.9,-6118.5,-0.61,39835,3.98,26797.5,2.68,13037.5,1.3,36942,3.69,17786,1.78,19156,1.92,0,0,0,222067.15,22.21,16161.5,1.6,11719,1.17,1,1,1,62,33,29,1,1,0,20,12,8,42,21,21,32.26,36.36,27.59,46.66,0.05,273.08,0.29,-210.98,-0.21,1991.75,1.92,2233.13,2.17,1629.69,1.54,879.57,0.83,846.95,0.79,912.19,0.88,2.264,2.637,1.787,6340.5,6340.5,3748.5,6.3,6.3,3.48,1925.5,1925.5,1649,1.83,1.83,1.61,87,94,79,173,176,168,46,48,45,0.037,0.075,1.078,1.507,0.681,0,0,0,1,3.5,4.7,"Changed ""Supertrend Factor"": 4.7 => 6.5.",16,6.5,4,398,true,true
5672.5,0.57,2817.5,0.28,8811,0.88,-5993.5,-0.6,39759,3.98,26797.5,2.68,12961.5,1.3,36941.5,3.69,17986.5,1.8,18955,1.9,0,0,0,222109.12,22.21,15837.5,1.57,11470.5,1.14,1,1,1,63,34,29,1,1,0,20,12,8,43,22,21,31.75,35.29,27.59,44.72,0.05,259.15,0.27,-206.67,-0.21,1987.95,1.92,2233.13,2.17,1620.19,1.53,859.1,0.81,817.57,0.77,902.62,0.87,2.314,2.731,1.795,6340.5,6340.5,3748.5,6.3,6.3,3.48,1925.5,1925.5,1649,1.83,1.83,1.61,87,93,79,173,176,168,46,47,45,0.036,0.073,1.076,1.49,0.684,0,0,0,1,3.4,4.4,"Changed ""ATR Length"": 16 => 18.",18,6.5,4,398,true,true
5673.5,0.57,-4724,-0.47,4209.5,0.42,-8933.5,-0.89,35853,3.59,22770,2.28,13083,1.31,40577,4.06,18560.5,1.86,22016.5,2.2,0,0,0,222119.61,22.21,9643.5,0.96,12800,1.27,1,1,1,64,34,30,1,1,0,20,12,8,44,22,22,31.25,35.29,26.67,-73.81,-0.07,123.81,0.14,-297.78,-0.3,1792.65,1.72,1897.5,1.83,1635.38,1.54,922.2,0.88,843.66,0.79,1000.75,0.96,1.944,2.249,1.634,5339.5,5339.5,3748.5,5.06,5.06,3.48,2162.5,1925.5,2162.5,2.15,1.83,2.15,84,91,76,175,179,168,43,42,43,-0.024,-0.043,0.884,1.227,0.594,0,0,0,1,3.3,4.4,"Changed ""ATR Length"": 18 => 15.",15,6.5,4,398,true,true
5120,0.52,-17291.5,-1.73,-3967,-0.4,-13324.5,-1.33,30910,3.09,15884,1.59,15026,1.5,48201.5,4.82,19851,1.99,28350.5,2.84,0,0,0,226586.32,22.66,9382.5,0.93,23939,2.38,1,1,1,88,42,46,1,1,0,28,15,13,60,27,33,31.82,35.71,28.26,-196.49,-0.18,-94.45,-0.07,-289.66,-0.28,1103.93,1.07,1058.93,1.04,1155.85,1.1,803.36,0.77,735.22,0.69,859.11,0.83,1.374,1.44,1.345,4649.5,4649.5,3329.5,4.7,4.7,3.11,2429.5,1945.5,2429.5,2.26,1.83,2.26,70,72,68,123,115,131,46,48,44,-0.161,-0.23,0.641,0.8,0.53,0,0,0,1,3.4,4.5,"Changed ""Supertrend Factor"": 6.5 => 4.9.",15,4.9,4,398,true,true
5453,0.55,-12432,-1.24,-2698,-0.27,-9734,-0.97,30848,3.08,15842,1.58,15006,1.5,43280,4.33,18540,1.85,24740,2.47,0,0,0,224695.75,22.47,10312.5,1.04,22548.5,2.24,1,1,1,88,42,46,1,1,0,25,14,11,63,28,35,28.41,33.33,23.91,-141.27,-0.13,-64.24,-0.05,-211.61,-0.21,1233.92,1.19,1131.57,1.1,1364.18,1.29,686.98,0.65,662.14,0.62,706.86,0.68,1.796,1.709,1.93,4185,4185,3748.5,4.21,4.21,3.48,1680,1680,1647.5,1.52,1.52,1.52,59,59,59,124,114,137,33,31,34,-0.108,-0.163,0.713,0.854,0.607,0,0,0,0.9,3.5,4.5,"Changed ""ATR Buffer Multiplier"": 4 => 3.",15,4.9,3,398,true,true
5666,0.56,17435,1.74,13601.5,1.36,3833.5,0.38,44905.5,4.49,27195,2.72,17710.5,1.77,27470.5,2.75,13593.5,1.36,13877,1.39,0,0,0,220635.09,22.06,25292.5,2.47,7760,0.77,1,1,1,57,30,27,1,1,0,20,11,9,37,19,18,35.09,36.67,33.33,305.88,0.3,453.38,0.46,141.98,0.12,2245.28,2.17,2472.27,2.42,1967.83,1.86,742.45,0.71,715.45,0.67,770.94,0.74,3.024,3.456,2.552,6534,6534,4811,6.78,6.78,4.43,1671,1671,1322,1.59,1.59,1.27,94,96,91,178,173,185,48,52,44,0.149,0.384,1.635,2.001,1.276,0,0,0,2.6,3.4,6.2,"Changed all parameters randomly.",20,7,4,398,true,true
5160.5,0.53,-21449.5,-2.14,-8417.5,-0.84,-13032,-1.3,31993,3.2,15098.5,1.51,16894.5,1.69,53442.5,5.34,23516,2.35,29926.5,2.99,0,0,0,225148.04,22.51,7668.5,0.77,27513.5,2.74,1,1,1,88,41,47,1,1,0,25,14,11,63,27,36,28.41,34.15,23.4,-243.74,-0.23,-205.3,-0.18,-277.28,-0.27,1279.72,1.24,1078.46,1.06,1535.86,1.46,848.29,0.81,870.96,0.82,831.29,0.8,1.509,1.238,1.848,4854.5,4854.5,3748.5,4.92,4.92,3.48,2162.5,1945.5,2162.5,2.15,1.83,2.15,69,72,65,135,129,143,42,43,42,-0.179,-0.252,0.599,0.642,0.565,0,0,0,1.8,3.3,5.3,"Changed all parameters randomly.",14,5.1,4,398,true,true
7551,0.75,13052.5,1.31,11542,1.15,1510.5,0.15,34776.5,3.48,22134.5,2.21,12642,1.26,21724,2.17,10592.5,1.06,11131.5,1.11,0,0,0,216681.81,21.67,23018,2.25,6059,0.6,1,1,1,52,26,26,1,1,0,14,7,7,38,19,19,26.92,26.92,26.92,251.01,0.25,443.92,0.46,58.1,0.04,2484.04,2.4,3162.07,3.13,1806,1.67,571.68,0.54,557.5,0.52,585.87,0.56,4.345,5.672,3.083,6423.5,6423.5,4811,6.66,6.66,4.43,1287.5,1287.5,887.5,1.17,1.17,0.85,74,79,70,168,164,172,40,48,32,0.133,0.432,1.601,2.09,1.136,0,0,0,3.6,3.4,7.1,"Changed all parameters randomly.",19,7.2,3,400,true,true
5624,0.57,-7194.5,-0.72,-2350,-0.23,-4844.5,-0.48,24720,2.47,11301.5,1.13,13418.5,1.34,31914.5,3.19,13651.5,1.37,18263,1.83,0,0,0,220477.43,22.05,11384.5,1.14,15603,1.55,1,1,1,93,43,50,1,1,0,23,12,11,70,31,39,24.73,27.91,22,-77.36,-0.07,-54.65,-0.05,-96.89,-0.09,1074.78,1.03,941.79,0.91,1219.86,1.16,455.92,0.43,440.37,0.42,468.28,0.45,2.357,2.139,2.605,3235.5,3235.5,2144.5,3.26,3.26,2.23,1542.5,1542.5,1152,1.39,1.39,1.06,44,44,44,108,93,123,23,24,21,-0.065,-0.111,0.775,0.828,0.735,0,0,0,4.8,3.4,8.3,"Changed all parameters randomly.",14,4.7,2,398,true,true
7643,0.75,17505,1.75,14051,1.41,3454,0.35,32610.5,3.26,21832.5,2.18,10778,1.08,15105.5,1.51,7781.5,0.78,7324,0.73,0,0,0,213439.17,21.34,26979.5,2.63,4822,0.47,1,1,1,42,22,20,1,1,0,11,6,5,31,16,15,26.19,27.27,25,416.79,0.41,638.68,0.65,172.7,0.15,2964.59,2.88,3638.75,3.62,2155.6,2,487.27,0.46,486.34,0.46,488.27,0.47,6.084,7.482,4.415,6758,6758,4811,6.88,6.88,4.43,1362,1362,686,1.29,1.29,0.66,71,70,71,162,160,163,39,37,41,0.171,0.678,2.159,2.806,1.472,0,0,0,2.6,3.3,6.1,"Changed all parameters randomly.",20,7.3,2,400,true,true
7653,0.75,20341,2.03,16091.5,1.61,4249.5,0.42,31242,3.12,21570,2.16,9672,0.97,10901,1.09,5478.5,0.55,5422.5,0.54,0,0,0,213543.5,21.35,29628.5,2.88,2665,0.26,1,1,1,43,23,20,1,1,0,11,7,4,32,16,16,25.58,30.43,20,473.05,0.47,699.63,0.71,212.48,0.19,2840.18,2.77,3081.43,3.07,2418,2.25,340.66,0.32,342.41,0.32,338.91,0.32,8.337,8.999,7.135,6716.5,6716.5,4889,6.98,6.98,4.5,600.5,577.5,600.5,0.58,0.55,0.58,58,62,55,139,129,157,30,32,29,0.199,1.083,2.866,3.937,1.784,0,0,0,2.6,3.4,6.2,"Changed ""ATR Length"": 16 => 20.",20,6.9,1.5,398,true,true
5041,0.51,-20251,-2.03,-6289.5,-0.63,-13961.5,-1.4,31149,3.11,15840,1.58,15309,1.53,51400,5.14,22129.5,2.21,29270.5,2.93,0,0,0,225754.12,22.58,7123.5,0.71,25946.5,2.58,1,1,1,92,45,47,1,1,0,27,14,13,65,31,34,29.35,31.11,27.66,-220.12,-0.21,-139.77,-0.12,-297.05,-0.29,1153.67,1.12,1131.43,1.11,1177.62,1.12,790.77,0.75,713.85,0.67,860.9,0.83,1.459,1.585,1.368,4649.5,4649.5,3329.5,4.7,4.7,3.11,2429.5,1945.5,2429.5,2.26,1.83,2.26,67,69,65,117,105,130,46,53,40,-0.192,-0.264,0.606,0.716,0.523,0,0,0,4.8,3.3,8.2,"Changed all parameters randomly.",18,4.9,4,399,true,true
5042,0.51,-19234,-1.92,-5005,-0.5,-14229,-1.42,31031.5,3.1,16005.5,1.6,15026,1.5,50265.5,5.03,21010.5,2.1,29255,2.93,0,0,0,225764.65,22.58,7097.5,0.71,24929.5,2.48,1,1,1,91,44,47,1,1,0,28,15,13,63,29,34,30.77,34.09,27.66,-211.36,-0.2,-113.75,-0.1,-302.74,-0.29,1108.27,1.07,1067.03,1.05,1155.85,1.1,797.87,0.76,724.5,0.69,860.44,0.83,1.389,1.473,1.343,4649.5,4649.5,3329.5,4.7,4.7,3.11,2429.5,1945.5,2429.5,2.26,1.83,2.26,68,69,67,116,103,131,46,51,43,-0.178,-0.247,0.617,0.762,0.514,0,0,0,1,3.4,4.4,"Changed ""ATR Length"": 18 => 16.",16,4.9,4,399,true,true
5660,0.56,17509,1.75,12761,1.28,4748,0.47,46441.5,4.64,27831,2.78,18610.5,1.86,28932.5,2.89,15070,1.51,13862.5,1.39,0,0,0,220572.18,22.06,25366.5,2.48,7577,0.75,1,1,1,59,32,27,1,1,0,20,11,9,39,21,18,33.9,34.38,33.33,296.76,0.29,398.78,0.41,175.85,0.15,2322.07,2.24,2530.09,2.48,2067.83,1.95,741.86,0.71,717.62,0.68,770.14,0.74,3.13,3.526,2.685,6534,6534,4811,6.78,6.78,4.43,1610.5,1610.5,1306,1.53,1.53,1.25,89,91,88,178,173,184,44,48,39,0.147,0.384,1.605,1.847,1.343,0,0,0,2.9,3.9,6.9,"Changed ""Supertrend Factor"": 4.9 => 7.",16,7,4,399,true,true
5126,0.53,-25569.5,-2.56,-8253,-0.83,-17316.5,-1.73,33227,3.32,17617.5,1.76,15609.5,1.56,58796.5,5.88,25870.5,2.59,32926,3.29,0,0,0,226649.53,22.66,7778.5,0.77,31546.5,3.14,1,1,1,101,49,52,1,1,0,30,17,13,71,32,39,29.7,34.69,25,-253.16,-0.24,-168.43,-0.15,-333.01,-0.32,1107.57,1.07,1036.32,1.02,1200.73,1.14,828.12,0.79,808.45,0.76,844.26,0.81,1.337,1.282,1.422,4657.5,4657.5,3329.5,4.76,4.76,3.11,2429.5,2079,2429.5,2.26,1.91,2.26,62,63,61,114,99,134,40,44,37,-0.213,-0.267,0.565,0.681,0.474,0,0,0,1.5,3.5,5.1,"Changed ""Supertrend Factor"": 7 => 4.7.",16,4.7,4,399,true,true
5571.5,0.55,5211,0.52,9838.5,0.98,-4627.5,-0.46,42490,4.25,28511.5,2.85,13978.5,1.4,37279,3.73,18673,1.87,18606,1.86,0,0,0,221915,22.19,14508.5,1.43,12358.5,1.22,1,1,1,63,34,29,1,1,0,21,11,10,42,23,19,33.33,32.35,34.48,82.71,0.09,289.37,0.31,-159.57,-0.16,2023.33,1.97,2591.95,2.55,1397.85,1.33,887.6,0.84,811.87,0.76,979.26,0.94,2.28,3.193,1.427,6340.5,6340.5,2514,6.3,6.3,2.37,1925.5,1925.5,1800,1.83,1.83,1.75,94,99,89,164,166,162,59,67,50,0.054,0.109,1.14,1.527,0.751,0,0,0,3,3.4,6.5,"Changed all parameters randomly.",20,6.9,5,399,true,true
5677,0.57,-12444,-1.24,-1982.5,-0.2,-10461.5,-1.05,19420.5,1.94,10749,1.07,8671.5,0.87,31864.5,3.19,12731.5,1.27,19133,1.91,0,0,0,220750.41,22.08,7490.5,0.74,18297,1.82,1,1,1,81,37,44,1,1,0,18,9,9,63,28,35,22.22,24.32,20.45,-153.63,-0.14,-53.58,-0.04,-237.76,-0.22,1078.92,1.05,1194.33,1.16,963.5,0.93,505.79,0.48,454.7,0.43,546.66,0.52,2.133,2.627,1.763,4429.5,4429.5,2264.5,4.47,4.47,2.35,1542.5,1542.5,1152,1.39,1.39,1.06,46,49,43,124,128,120,24,24,24,-0.127,-0.208,0.609,0.844,0.453,0,0,0,4.5,3.5,8.1,"Changed all parameters randomly.",17,5.1,2,399,true,true
7730,0.76,13088.5,1.31,10811,1.08,2277.5,0.23,29502,2.95,20297,2.03,9205,0.92,16413.5,1.64,9486,0.95,6927.5,0.69,0,0,0,217159.43,21.72,22103.5,2.16,5549.5,0.55,1,1,1,41,22,19,1,1,0,9,5,4,32,17,15,21.95,22.73,21.05,319.23,0.32,491.41,0.51,119.87,0.1,3278,3.19,4059.4,4.03,2301.25,2.13,512.92,0.49,558,0.53,461.83,0.44,6.391,7.275,4.983,6758,6758,5021,6.98,6.98,4.61,950,950,845.5,0.91,0.91,0.82,56,64,46,158,169,145,27,33,19,0.141,0.51,1.797,2.14,1.329,0,0,0,0.9,3.4,4.5,"Changed ""Supertrend Factor"": 5.1 => 8.",17,8,2,399,true,true
5595,0.56,-8410,-0.84,-325.5,-0.03,-8084.5,-0.81,23073.5,2.31,12610,1.26,10463.5,1.05,31483.5,3.15,12935.5,1.29,18548,1.85,0,0,0,221049.31,22.1,11111.5,1.11,18241,1.81,1,1,1,90,42,48,1,1,0,22,13,9,68,29,39,24.44,30.95,18.75,-93.44,-0.08,-7.75,0,-168.43,-0.16,1048.8,1.01,970,0.94,1162.61,1.11,462.99,0.44,446.05,0.42,475.59,0.45,2.265,2.175,2.445,4342,4342,2169,4.38,4.38,2.25,1542.5,1542.5,1152,1.39,1.39,1.06,43,45,41,113,103,126,20,19,21,-0.078,-0.139,0.733,0.975,0.564,0,0,0,2.6,3.4,6.1,"Changed all parameters randomly.",14,4.8,2,398,true,true
5517.5,0.55,404,0.04,7071,0.71,-6667,-0.67,39421,3.94,25749.5,2.57,13671.5,1.37,39017,3.9,18678.5,1.87,20338.5,2.03,0,0,0,224264.5,22.43,14454,1.44,11950.5,1.19,1,1,1,62,33,29,1,1,0,22,12,10,40,21,19,35.48,36.36,34.48,6.52,0.01,214.27,0.23,-229.9,-0.23,1791.86,1.72,2145.79,2.09,1367.15,1.28,975.43,0.93,889.45,0.84,1070.45,1.03,1.837,2.412,1.277,6340.5,6340.5,4811,6.3,6.3,4.43,2095.5,1865,2095.5,2.05,1.77,2.05,98,104,92,172,173,171,57,64,50,0.016,0.032,1.01,1.379,0.672,0,0,0,2.8,3.4,6.3,"Changed all parameters randomly.",15,6.7,5,398,true,true
5475,0.54,7029.5,0.7,11387,1.14,-4357.5,-0.44,42751.5,4.28,28807.5,2.88,13944,1.39,35722,3.57,17420.5,1.74,18301.5,1.83,0,0,0,220902.4,22.09,16763.5,1.65,12847,1.27,1,1,1,61,33,28,1,1,0,23,12,11,38,21,17,37.7,36.36,39.29,115.24,0.13,345.06,0.36,-155.62,-0.16,1858.76,1.8,2400.63,2.36,1267.64,1.2,940.05,0.89,829.55,0.78,1076.56,1.03,1.977,2.894,1.177,6340.5,6340.5,2484,6.3,6.3,2.3,2149.5,1925.5,2149.5,2.06,1.83,2.06,100,106,93,169,177,160,58,65,49,0.067,0.136,1.197,1.654,0.762,0,0,0,1,3.3,4.4,"Changed ""ATR Length"": 15 => 20.",20,6.7,5,398,true,true
5584.5,0.55,14108,1.41,14713,1.47,-605,-0.06,45400,4.54,30566,3.06,14834,1.48,31292,3.13,15853,1.59,15439,1.54,0,0,0,219780.66,21.98,21965.5,2.15,8980.5,0.89,1,1,1,59,32,27,1,1,0,22,12,10,37,20,17,37.29,37.5,37.04,239.12,0.24,459.78,0.48,-22.41,-0.03,2063.64,2,2547.17,2.51,1483.4,1.4,845.73,0.8,792.65,0.74,908.18,0.87,2.44,3.213,1.633,6340.5,6340.5,2577,6.3,6.3,2.4,1925.5,1925.5,1649,1.83,1.83,1.61,92,98,86,171,179,161,46,49,42,0.121,0.278,1.451,1.928,0.961,0,0,0,0.9,3.4,4.4,"Changed ""ATR Buffer Multiplier"": 5 => 4.",20,6.7,4,398,true,true
5324,0.54,-23041.5,-2.3,-9731,-0.97,-13310.5,-1.33,27823.5,2.78,12601,1.26,15222.5,1.52,50865,5.09,22332,2.23,28533,2.85,0,0,0,223338.9,22.33,7449.5,0.76,28404.5,2.83,1,1,1,101,48,53,1,1,0,25,13,12,76,35,41,24.75,27.08,22.64,-228.13,-0.22,-202.73,-0.18,-251.14,-0.24,1112.94,1.07,969.31,0.95,1268.54,1.2,669.28,0.64,638.06,0.6,695.93,0.67,1.663,1.519,1.823,3748.5,3078.5,3748.5,3.48,3.1,3.48,1647.5,1348,1647.5,1.52,1.28,1.52,53,52,53,118,101,137,31,34,29,-0.221,-0.293,0.547,0.564,0.534,0,0,0,4.2,3.4,7.8,"Changed all parameters randomly.",15,4.7,3,398,true,true
5536.5,0.55,13804.5,1.38,12031.5,1.2,1773,0.18,44174.5,4.42,27704.5,2.77,16470,1.65,30370,3.04,15673,1.57,14697,1.47,0,0,0,219277.45,21.93,21662,2.12,7892,0.78,1,1,1,60,32,28,1,1,0,21,11,10,39,21,18,35,34.38,35.71,230.08,0.23,375.98,0.39,63.32,0.05,2103.55,2.04,2518.59,2.46,1647,1.56,778.72,0.74,746.33,0.7,816.5,0.78,2.701,3.375,2.017,6340.5,6340.5,2624,6.54,6.54,2.43,1925.5,1925.5,1338,1.83,1.83,1.25,88,92,84,171,173,169,44,49,37,0.119,0.284,1.455,1.768,1.121,0,0,0,3.9,3.5,7.6,"Changed all parameters randomly.",20,6.9,4,398,true,true
5467,0.54,18146.5,1.81,13076,1.31,5070.5,0.51,46544,4.65,27356.5,2.74,19187.5,1.92,28397.5,2.84,14280.5,1.43,14117,1.41,0,0,0,218852.86,21.89,25975,2.53,7738,0.77,1,1,1,58,31,27,1,1,0,19,10,9,39,21,18,32.76,32.26,33.33,312.87,0.31,421.81,0.43,187.8,0.16,2449.68,2.36,2735.65,2.68,2131.94,2.01,728.14,0.69,680.02,0.64,784.28,0.76,3.364,4.023,2.718,6534,6534,4811,6.78,6.78,4.43,1610.5,1610.5,1306,1.53,1.53,1.25,93,95,90,183,183,184,49,53,43,0.151,0.392,1.639,1.916,1.359,0,0,0,1.7,3.9,5.8,"Changed ""ATR Length"": 20 => 15.",15,6.9,4,398,true,true
7313.5,0.72,19860.5,1.99,16864,1.69,2996.5,0.3,34495,3.45,23686.5,2.37,10808.5,1.08,14634.5,1.46,6822.5,0.68,7812,0.78,0,0,0,214199.86,21.42,29583,2.88,3590.5,0.35,1,1,1,48,24,24,1,1,0,14,8,6,34,16,18,29.17,33.33,25,413.76,0.41,702.67,0.71,124.85,0.1,2463.93,2.4,2960.81,2.94,1801.42,1.67,430.43,0.41,426.41,0.4,434,0.42,5.724,6.944,4.151,6622.5,6622.5,4811,6.88,6.88,4.43,836.5,646,836.5,0.81,0.6,0.81,66,75,58,140,135,148,36,44,28,0.187,0.834,2.357,3.472,1.384,0,0,0,4,3.6,8.1,"Changed ""ATR Buffer Multiplier"": 1.5 => 2.",16,6.9,2,398,true,true
