"Open P&L","Open P&L %","Net profit: All","Net profit %: All","Net profit: Long","Net profit %: Long","Net profit: Short","Net profit %: Short","Gross profit: All","Gross profit %: All","Gross profit: Long","Gross profit %: Long","Gross profit: Short","Gross profit %: Short","Gross loss: All","Gross loss %: All","Gross loss: Long","Gross loss %: Long","Gross loss: Short","Gross loss %: Short","Commission paid: All","Commission paid: Long","Commission paid: Short","Buy & hold return","Buy & hold return %","Max equity run-up","Max equity run-up %","Max equity drawdown","Max equity drawdown %","Max contracts held: All","Max contracts held: Long","Max contracts held: Short","Total trades: All","Total trades: Long","Total trades: Short","Total open trades: All","Total open trades: Long","Total open trades: Short","Winning trades: All","Winning trades: Long","Winning trades: Short","Losing trades: All","Losing trades: Long","Losing trades: Short","Percent profitable: All","Percent profitable: Long","Percent profitable: Short","Avg P&L: All","Avg P&L %: All","Avg P&L: Long","Avg P&L %: Long","Avg P&L: Short","Avg P&L %: Short","Avg winning trade: All","Avg winning trade %: All","Avg winning trade: Long","Avg winning trade %: Long","Avg winning trade: Short","Avg winning trade %: Short","Avg losing trade: All","Avg losing trade %: All","Avg losing trade: Long","Avg losing trade %: Long","Avg losing trade: Short","Avg losing trade %: Short","Ratio avg win / avg loss: All","Ratio avg win / avg loss: Long","Ratio avg win / avg loss: Short","Largest winning trade: All","Largest winning trade: Long","Largest winning trade: Short","Largest winning trade percent: All","Largest winning trade percent: Long","Largest winning trade percent: Short","Largest losing trade: All","Largest losing trade: Long","Largest losing trade: Short","Largest losing trade percent: All","Largest losing trade percent: Long","Largest losing trade percent: Short","Avg # bars in trades: All","Avg # bars in trades: Long","Avg # bars in trades: Short","Avg # bars in winning trades: All","Avg # bars in winning trades: Long","Avg # bars in winning trades: Short","Avg # bars in losing trades: All","Avg # bars in losing trades: Long","Avg # bars in losing trades: Short","Sharpe ratio","Sortino ratio","Profit factor: All","Profit factor: Long","Profit factor: Short","Margin calls: All","Margin calls: Long","Margin calls: Short","_setTime_","_parseTime_","_duration_","comment","__ATR Length","__Supertrend Factor","__ATR Buffer Multiplier","__Fixed Hard Stop Distance (points)","__Use UTC Time (off=Exchange Time)","__Inputs in status line"
2922.5,0.29,-7194.5,-0.72,-2350,-0.23,-4844.5,-0.48,24720,2.47,11301.5,1.13,13418.5,1.34,31914.5,3.19,13651.5,1.37,18263,1.83,0,0,0,192130.11,19.21,8331.5,0.84,15603,1.55,1,1,1,93,43,50,1,1,0,23,12,11,70,31,39,24.73,27.91,22,-77.36,-0.07,-54.65,-0.05,-96.89,-0.09,1074.78,1.03,941.79,0.91,1219.86,1.16,455.92,0.43,440.37,0.42,468.28,0.45,2.357,2.139,2.605,3235.5,3235.5,2144.5,3.26,3.26,2.23,1542.5,1542.5,1152,1.39,1.39,1.06,44,44,44,108,93,123,23,24,21,-0.112,-0.167,0.775,0.828,0.735,0,0,0,1,3.4,4.4,"Changed ""ATR Buffer Multiplier"": 5 => 2.",14,4.7,2,398,true,true
2858.5,0.29,-2842.5,-0.28,5788.5,0.58,-8631,-0.86,29574,2.96,20291,2.03,9283,0.93,32416.5,3.24,14502.5,1.45,17914,1.79,0,0,0,191202.05,19.12,8938,0.89,12854,1.28,1,1,1,64,33,31,1,1,0,17,11,6,47,22,25,26.56,33.33,19.35,-44.41,-0.04,175.41,0.18,-278.42,-0.27,1739.65,1.68,1844.64,1.79,1547.17,1.47,689.71,0.66,659.2,0.62,716.56,0.69,2.522,2.798,2.159,5537.5,5537.5,3016,5.26,5.26,2.9,1582,1441,1582,1.56,1.37,1.56,70,78,62,156,162,145,39,36,42,-0.04,-0.074,0.912,1.399,0.518,0,0,0,1.4,3.3,4.7,"Changed all parameters randomly.",17,6.2,3,398,true,true
2869,0.29,-5397,-0.54,4465.5,0.45,-9862.5,-0.99,30076.5,3.01,21183.5,2.12,8893,0.89,35473.5,3.55,16718,1.67,18755.5,1.88,0,0,0,191312.13,19.13,8807,0.87,15369.5,1.53,1,1,1,68,36,32,1,1,0,16,10,6,52,26,26,23.53,27.78,18.75,-79.37,-0.07,124.04,0.13,-308.2,-0.3,1879.78,1.81,2118.35,2.05,1482.17,1.41,682.18,0.65,643,0.61,721.37,0.69,2.756,3.294,2.055,5537.5,5537.5,2526.5,5.26,5.26,2.43,1582,1468,1582,1.56,1.4,1.56,68,71,64,167,180,146,37,29,45,-0.064,-0.109,0.848,1.267,0.474,0,0,0,0.5,3.4,4,"Changed ""ATR Length"": 17 => 14.",14,6.2,3,398,true,true
2943.5,0.3,-16590,-1.66,-2750.5,-0.28,-13839.5,-1.38,28629,2.86,17285,1.73,11344,1.13,45219,4.52,20035.5,2,25183.5,2.52,0,0,0,194807.77,19.48,7191.5,0.71,21898,2.18,1,1,1,118,58,60,1,1,0,22,14,8,96,44,52,18.64,24.14,13.33,-140.59,-0.13,-47.42,-0.04,-230.66,-0.22,1301.32,1.26,1234.64,1.2,1418,1.35,471.03,0.45,455.35,0.43,484.3,0.46,2.763,2.711,2.928,3748.5,3348,3748.5,3.48,3.37,3.48,1275,1217.5,1275,1.19,1.19,1.18,37,40,34,100,100,100,23,22,24,-0.203,-0.283,0.633,0.863,0.45,0,0,0,3,3.5,6.5,"Changed all parameters randomly.",16,4.1,2,399,true,true
0,0,-13715,-1.37,-5193.5,-0.52,-8521.5,-0.85,12913.5,1.29,7179.5,0.72,5734,0.57,26628.5,2.66,12373,1.24,14255.5,1.43,0,0,0,190127.55,19.01,5796.5,0.59,16434.5,1.64,1,1,1,64,31,33,0,0,0,8,3,5,56,28,28,12.5,9.68,15.15,-214.3,-0.21,-167.53,-0.16,-258.23,-0.25,1614.19,1.52,2393.17,2.26,1146.8,1.08,475.51,0.46,441.89,0.42,509.13,0.49,3.395,5.416,2.252,2782,2682,2782,2.68,2.52,2.68,879,842.5,879,0.85,0.79,0.85,44,50,38,162,198,141,27,34,19,-0.324,-0.412,0.485,0.58,0.402,0,0,0,0.6,3.4,4,"Changed ""Supertrend Factor"": 4.1 => 6.1.",16,6.1,2,399,true,true
4483,0.45,3352,0.34,7431,0.74,-4079,-0.41,38773.5,3.88,26244.5,2.62,12529,1.25,35421.5,3.54,18813.5,1.88,16608,1.66,0,0,0,192350.46,19.24,11757.5,1.16,11068,1.1,1,1,1,57,32,25,1,1,0,17,9,8,40,23,17,29.82,28.13,32,58.81,0.07,232.22,0.26,-163.16,-0.17,2280.79,2.22,2916.06,2.88,1566.13,1.46,885.54,0.84,817.98,0.77,976.94,0.94,2.576,3.565,1.603,6340.5,6340.5,2577,6.3,6.3,2.4,2520.5,2520.5,1901,2.39,2.39,1.85,96,97,94,170,177,162,64,65,63,0.032,0.056,1.095,1.395,0.754,0,0,0,1.3,3.4,4.7,"Changed all parameters randomly.",14,7.4,5,399,true,true
2313,0.24,-16612,-1.66,-4510,-0.45,-12102,-1.21,32022,3.2,15663,1.57,16359,1.64,48634,4.86,20173,2.02,28461,2.85,0,0,0,197016.7,19.7,9595.5,0.97,25948,2.58,1,1,1,78,37,41,1,1,0,24,13,11,54,24,30,30.77,35.14,26.83,-212.97,-0.2,-121.89,-0.1,-295.17,-0.29,1334.25,1.29,1204.85,1.19,1487.18,1.42,900.63,0.86,840.54,0.79,948.7,0.91,1.481,1.433,1.568,5742,5742,3329.5,5.87,5.87,3.11,3161.5,2293,3161.5,2.95,2.16,2.95,82,89,77,144,135,156,55,64,48,-0.168,-0.226,0.658,0.776,0.575,0,0,0,1.3,3.3,4.7,"Changed ""Supertrend Factor"": 7.4 => 5.6.",14,5.6,5,399,true,true
2865.5,0.29,-13621,-1.36,-7417,-0.74,-6204,-0.62,13268.5,1.33,6023,0.6,7245.5,0.72,26889.5,2.69,13440,1.34,13449.5,1.34,0,0,0,190127.55,19.01,7156,0.71,19207.5,1.91,1,1,1,66,33,33,1,1,0,13,6,7,53,27,26,19.7,18.18,21.21,-206.38,-0.19,-224.76,-0.2,-188,-0.18,1020.65,1,1003.83,1,1035.07,1,507.35,0.48,497.78,0.47,517.29,0.49,2.012,2.017,2.001,4429.5,4429.5,2951.5,4.47,4.47,2.84,1410.5,1410.5,887.5,1.28,1.28,0.85,49,52,46,134,136,132,28,34,23,-0.207,-0.303,0.493,0.448,0.539,0,0,0,0.5,3.5,4,"Changed ""ATR Buffer Multiplier"": 5 => 2.",14,5.6,2,399,true,true
4457.5,0.44,7474.5,0.75,9393.5,0.94,-1919,-0.19,40768.5,4.08,27316.5,2.73,13452,1.35,33294,3.33,17923,1.79,15371,1.54,0,0,0,191008.1,19.1,15210.5,1.5,10589.5,1.05,1,1,1,53,29,24,1,1,0,18,10,8,35,19,16,33.96,34.48,33.33,141.03,0.14,323.91,0.34,-79.96,-0.09,2264.92,2.18,2731.65,2.67,1681.5,1.57,951.26,0.9,943.32,0.89,960.69,0.93,2.381,2.896,1.75,6534,6534,2624,6.78,6.78,2.43,2520.5,2520.5,1610.5,2.39,2.39,1.56,100,108,90,181,188,171,58,66,49,0.064,0.125,1.224,1.524,0.875,0,0,0,1.7,3.4,5.1,"Changed all parameters randomly.",18,7.8,5,398,true,true
2735.5,0.28,-6644,-0.66,2523,0.25,-9167,-0.92,37657,3.77,23196.5,2.32,14460.5,1.45,44301,4.43,20673.5,2.07,23627.5,2.36,0,0,0,192156.34,19.22,7972.5,0.79,16006,1.59,1,1,1,68,36,32,1,1,0,20,12,8,48,24,24,29.41,33.33,25,-97.71,-0.09,70.08,0.08,-286.47,-0.28,1882.85,1.8,1933.04,1.87,1807.56,1.7,922.94,0.88,861.4,0.81,984.48,0.95,2.04,2.244,1.836,5537.5,5537.5,3748.5,5.26,5.26,3.48,2162.5,1925.5,2162.5,2.15,1.83,2.15,82,87,75,170,167,175,45,48,42,-0.069,-0.109,0.85,1.122,0.612,0,0,0,3.3,3.4,6.7,"Changed all parameters randomly.",16,6.2,4,400,true,true
